restaurant_id,place_id,resolved_name,resolved_address,verification_status,verified_at
6081,1946598459,신전떡볶이개포점,서울특별시 강남구 개포로 508(개포동) 소망빌딩 1층,RESOLVED,2026-09-20T20:07:17
6086,1346637793,최가남도마당,서울특별시 강남구 개포로 621 (개포동) 지하1층 103호,RESOLVED,2026-09-20T20:07:17
6121,35278367,서연옥,서울특별시 강남구 개포로22길 10 (개포동) 1층,RESOLVED,2026-09-20T20:07:17
6152,36947809,형제곱창,서울특별시 강남구 논현로20길 24 (개포동) 101~102호,RESOLVED,2026-09-20T20:07:17
6164,1525153902,라피드커피,서울시 강남구 개포로 623 지하1층,RESOLVED,2026-09-20T20:07:17
6247,1439599983,원조식당,서울특별시 강남구 개포로82길 7 (개포동) 삼성빌딩 1층,RESOLVED,2026-09-20T20:07:17
6272,1845971091,연스시,서울특별시 강남구 개포로 512 (개포동) 개포종합상가 113 연스시,RESOLVED,2026-09-20T20:07:17
6276,1965904313,진가네,서울특별시 강남구 논현로16길 17 (개포동) 104호,RESOLVED,2026-09-20T20:07:17
6330,1600408196,밥이브라운,"서울특별시 강남구 개포로109길 5 (개포동, 대치아파트) , B-21호",RESOLVED,2026-09-20T20:07:17
6367,37943647,대가,서울시 강남구 개포로20길 26(개포동) 1층,RESOLVED,2026-09-20T20:07:17
6370,1277913587,강남초장,서울특별시 강남구 개포로82길 5-8 (개포동) 성지빌딩 강남초장,RESOLVED,2026-09-20T20:07:17
6395,38276203,제주왕솥뚜껑삼겹살,"서울특별시 강남구 개포로20길 8 (개포동, 천웅빌딩 103호) 제주왕솥뚜껑삼겹살",RESOLVED,2026-09-20T20:07:17
6406,1678750949,만선호프,서울특별시 강남구 개포로82길 5-8 (개포동) 성지빌딩 지상1층 104호,RESOLVED,2026-09-20T20:07:17
6467,1884878916,이모네,서울특별시 강남구 개포로 508(개포동) 111호,RESOLVED,2026-09-20T20:07:17
6500,1672689874,바른치킨 개포점,서울특별시 강남구 선릉로6길 17 (개포동) 101호,RESOLVED,2026-09-20T20:07:17
6564,1449610990,오징어광장,서울시 강남구 개포로 220 105호,RESOLVED,2026-09-20T20:07:17
6661,19873548,청송일식,서울특별시 강남구 개포로 621 지하114호,RESOLVED,2026-09-20T20:07:17
6727,38521824,치마오,서울특별시 강남구 개포로 623 (개포동) 1003호,RESOLVED,2026-09-20T20:07:17
6738,1165137215,수녹,서울특별시 강남구 삼성로 38 (개포동) 102호,RESOLVED,2026-09-20T20:07:17
6748,21224639,포나타이,서울시 강남구 개포로 621(개포동) B109호,RESOLVED,2026-09-20T20:07:17
6751,37663840,생한우곱창,서울시 강남구 선릉로8길 5 101호(개포동),RESOLVED,2026-09-20T20:07:17
6846,1266874196,대청분식,서울특별시 강남구 개포로 621(개포동) SH공사지하102호,RESOLVED,2026-09-20T20:07:17
6952,1258223030,장군 주먹고기,서울특별시 강남구 개포로82길 9-15 (개포동) 2층내제,RESOLVED,2026-09-20T20:07:17
6970,1992278462,노가리청춘,서울특별시 강남구 개포로82길 9-17 지상1층 105호,RESOLVED,2026-09-20T20:07:17
7011,18803078,피자스쿨 포이점,서울특별시 강남구 논현로10길 30(개포동) 현대빌딩 1층 피자스쿨,RESOLVED,2026-09-20T20:07:17
7128,709114491,소보루 치킨,서울특별시강남구 개포로 109길 5 104호,RESOLVED,2026-09-20T20:07:17
7201,1999673503,청담동꿀꽈배기,서울특별시 강남구 개포로82길 13-9 (개포동) 1층 112호,RESOLVED,2026-09-20T20:07:17
7202,1389099770,아담만두,서울특별시 강남구 개포로82길 9-11(개포동) 1층 105호 아담만두,RESOLVED,2026-09-20T20:07:17
7213,36960035,스시현,서울특별시 강남구 개포로82길 13-17 (개포동) 스시현 1층,RESOLVED,2026-09-20T20:07:17
7232,1682847890,바르다김선생 개포점,서울특별시 강남구 선릉로 30 1층 바르다김선생 바르다김선생 개포점,RESOLVED,2026-09-20T20:07:17
7246,1584970251,바오아토,"서울특별시 강남구 삼성로 11 (개포동, 디에이치 아너힐즈) 상가 1층 108호",RESOLVED,2026-09-20T20:07:17
7275,36997812,오구또와,서울시 강남구 논현로 10길 30 1층 102호 오구또와(개포동),RESOLVED,2026-09-20T20:07:17
7316,36398774,화덕피자파숑(개포점),서울특별시 강남구 개포로82길 13-9 (개포동) 1층 화덕피자,RESOLVED,2026-09-20T20:07:17
7339,18419658,석배,서울특별시 강남구 개포로 621 (개포동) 지하1층 105호 석배,RESOLVED,2026-09-20T20:07:17
7373,1242116416,구구치킨,서울특별시 강남구 개포로82길 5-8 (개포동) 1층 11호(성지빌딩),RESOLVED,2026-09-20T20:07:17
7386,18420156,춘천명물닭갈비,"서울특별시 강남구 개포로22길 14 (개포동) (개포동, 지상1층)",RESOLVED,2026-09-20T20:07:17
7411,1387037421,다비어스,서울특별시 강남구 개포로 623 (개포동) B133호,RESOLVED,2026-09-20T20:07:17
7437,1276334219,레몬그라스 타이,서울 강남구 개포로22길 12 1층,RESOLVED,2026-09-20T20:07:17
7520,38521236,구봉산 돼지갈비,서울시 강남구 논현로16길 23 구봉산 돼지갈비,RESOLVED,2026-09-20T20:07:17
4331,35839867,꼼터,서울특별시 강남구 언주로134길 35(논현동) 지상 1층,RESOLVED,2026-09-20T20:07:17
4339,1417514733,이자카야나무(논현),서울특별시 강남구 봉은사로 1길 40 지하1-지상3층,RESOLVED,2026-09-20T20:07:17
4340,1051121579,논현194,서울특별시 강남구 봉은사로13길 10 (논현동) 1층,RESOLVED,2026-09-20T20:07:17
4380,1184502434,가리비야,서울특별시 강남구 학동로4길 15 (논현동) 1층 113호,RESOLVED,2026-09-20T20:07:17
4382,1824038108,부엉이식당,서울특별시 강남구 학동로12길 8 (논현동) 1층 부엉이식당,RESOLVED,2026-09-20T20:07:17
4393,10976693,강남설렁탕,서울특별시 강남구 학동로2길 13 (논현동) 1층,RESOLVED,2026-09-20T20:07:17
4404,1808021883,보승회관 강남구청역점,서울특별시 강남구 선릉로131길 8(논현동) 1층,RESOLVED,2026-09-20T20:07:17
4462,1376459277,OPNNG(오프닝),서울특별시 강남구 도산대로34길 22(논현동) 빌딩 모노폴 지하 1층 OPNNG,RESOLVED,2026-09-20T20:07:17
4468,37463892,강남한우 마장동박현규,"서울특별시 강남구 강남대로128길 27 (논현동, 새호시티라이프빌딩) 105호",RESOLVED,2026-09-20T20:07:17
4476,13156287,방일해장국,서울특별시 강남구 봉은사로37길 31 (논현동) 1층방일해장국,RESOLVED,2026-09-20T20:07:17
4493,1275603832,빙츄르,서울특별시 강남구 학동로20길 31(논현동) 102호,RESOLVED,2026-09-20T20:07:17
