restaurant_id,komsco_name,komsco_address,previous_naver_status,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,review_requested,review_count,review_keyword_count,result,reason,elapsed_ms
4333,문,서울특별시 강남구 밤고개로23길 10-5(율현동) 문,MATCHED,CHECKPOINT,1773108313,https://pcmap.place.naver.com/restaurant/1773108313/home,RESOLVED,PARTIAL,VERIFIED_CHECKPOINT,False,,True,0,1,0,PLAYWRIGHT,NOT_ATTEMPTED,SUCCESS,,0,False,True,True,0,0,PARTIAL,,1016
4284,카페알케미,"서울특별시 강남구 양재대로53길 7 (일원동) 1,2층",MATCHED,일원동 카페알케미,136397665,https://pcmap.place.naver.com/restaurant/136397665/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1432
4361,강남햅쌀만꼬마김밥,서울특별시 강남구 밤고개로231 훼미리타운 A동 104호,MATCHED,CHECKPOINT,1170046203,https://pcmap.place.naver.com/restaurant/1170046203/home,RESOLVED,PARTIAL,VERIFIED_CHECKPOINT,False,,True,0,1,0,PLAYWRIGHT,NOT_ATTEMPTED,SUCCESS,,0,False,True,True,0,0,PARTIAL,,1246
4276,광부,"서울특별시 강남구 도산대로56길 17, 지상2층 (청담동) 광부",MATCHED,청담동 광부,13098230,https://pcmap.place.naver.com/restaurant/13098230/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1312
4299,오마뎅 개포래미안포레스트점,"서울특별시 강남구 개포로 264(개포동, 개포 래미안 포레스트) 제상가1동 1층 103-1호",MATCHED,CHECKPOINT,1195725724,https://pcmap.place.naver.com/restaurant/1195725724/home,RESOLVED,PARTIAL,VERIFIED_CHECKPOINT,False,,True,0,1,0,PLAYWRIGHT,NOT_ATTEMPTED,SUCCESS,,0,False,True,True,0,0,PARTIAL,,1140
4321,대포집,서울특별시 강남구 강남대로114길 15 (논현동) 1층,MATCHED,논현동 대포집,1609486868,https://pcmap.place.naver.com/restaurant/1609486868/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1570
4283,카발,서울특별시 강남구 선릉로82길 7 (대치동) 1층 레스토랑,MATCHED,대치동 카발,64158581,https://pcmap.place.naver.com/restaurant/64158581/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,True,"0,1",,2,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,2986
4288,사리원,서울특별시 강남구 남부순환로 2712 (도곡동) 사리원,MATCHED,도곡동 사리원,11710938,https://pcmap.place.naver.com/restaurant/11710938/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1492
4294,야키니쿠규,서울특별시 강남구 테헤란로81길 60-5 (삼성동) 1층 야키니쿠 규,MATCHED,삼성동 야키니쿠규,1697940428,https://pcmap.place.naver.com/restaurant/1697940428/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1606
4616,미가,서울 강남구 세곡동 164-10 미가 부대찌개,MATCHED,세곡동 미가,159945533,https://pcmap.place.naver.com/restaurant/159945533/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,True,"0,1",,2,NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,3371
