restaurant_id,komsco_name,komsco_address,previous_naver_status,naver_matched_external_name,naver_matched_address,naver_matched_road_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,elapsed_ms
4704,개포골,서울특별시 강남구 삼성로 38 (개포동) 1층,MATCHED,,,,개포동역 개포골,36003999,https://pcmap.place.naver.com/restaurant/36003999/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""개포골한식"", ""candidate_address"": """", ""place_id"": ""36003999"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36003999/home"", ""detail_name"": ""개포골한식"", ""detail_road_address"": ""서울 강남구 삼성로 38"", ""detail_jibun_address"": ""서울 강남구 개포동 186-1"", ""normalized_source_name"": ""개포골"", ""normalized_detail_name"": ""개포골한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구삼성로38개포동1층"", ""normalized_detail_road_address"": ""서울강남구삼성로38"", ""normalized_detail_jibun_address"": ""서울강남구개포동1861"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,5,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,4,5,10,,PARTIAL,,9692
4744,러빙헛랜드,서울 강남구 논현로16길 17 1층 러빙헛랜드,UNMATCHED,,,,개포동 러빙헛랜드,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,3099
4769,주박사닭갈비,서울특별시 강남구 개포로 508(개포동) 2층 202호,MATCHED,주박사 닭갈비,서울특별시 강남구 개포동 186-15 2층 204호,서울특별시 강남구 개포로 508 2층 204호,개포동역 주박사닭갈비,1386806494,https://pcmap.place.naver.com/restaurant/1386806494/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""주박사 닭갈비"", ""candidate_address"": """", ""place_id"": ""1386806494"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1386806494/home"", ""detail_name"": ""주박사 닭갈비"", ""detail_road_address"": ""서울 강남구 개포로 508 2층 204호"", ""detail_jibun_address"": ""서울 강남구 개포동 186-15"", ""normalized_source_name"": ""주박사닭갈비"", ""normalized_detail_name"": ""주박사닭갈비"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구개포로508개포동2층202호"", ""normalized_detail_road_address"": ""서울강남구개포로5082층204호"", ""normalized_detail_jibun_address"": ""서울강남구개포동18615"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,4,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,9920
4783,제주꿀꿀이족발,서울특별시 강남구 개포로 512 (개포동) 117호,MATCHED,제주꿀꿀이족발,서울특별시 강남구 개포동 186-17,서울특별시 강남구 개포로 512,개포동 제주꿀꿀이족발,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,True,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,2950
4834,소담,"서울특별시 강남구 개포로 615 (개포동) 지하115호(개포동, 석탑프라자)",MATCHED,소담,서울특별시 강남구 개포동 12-4,서울특별시 강남구 개포로 615,대모산입구역 소담,1816161265,https://pcmap.place.naver.com/restaurant/1816161265/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"3,0,2,1",1,1,"[{""rank"": 1, ""candidate_name"": ""소담한식"", ""candidate_address"": """", ""place_id"": ""1816161265"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1816161265/home"", ""detail_name"": ""소담한식"", ""detail_road_address"": ""서울 강남구 개포로 615"", ""detail_jibun_address"": ""서울 강남구 개포동 12-4"", ""normalized_source_name"": ""소담"", ""normalized_detail_name"": ""소담한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로615개포동지하115호개포동석탑프라자"", ""normalized_detail_road_address"": ""서울강남구개포로615"", ""normalized_detail_jibun_address"": ""서울강남구개포동124"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,SUCCESS,NO_DATA,SUCCESS,True,10,10,15,7,10,,PARTIAL,,12282
4864,그고깃집,서울특별시 강남구 선릉로6길 13 (개포동) 1층,MATCHED,그고깃집,서울특별시 강남구 개포동 159-7 1층,서울특별시 강남구 선릉로6길 13 1층,개포동 그고깃집,32259828,https://pcmap.place.naver.com/restaurant/32259828/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,HIGH,True,"0,1",,2,"[{""rank"": 1, ""candidate_name"": ""그고깃집"", ""candidate_address"": """", ""place_id"": ""1522965415"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1522965415/home"", ""detail_name"": ""그고깃집"", ""detail_road_address"": """", ""detail_jibun_address"": """", ""normalized_source_name"": ""그고깃집"", ""normalized_detail_name"": ""그고깃집"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구선릉로6길13개포동1층"", ""normalized_detail_road_address"": """", ""normalized_detail_jibun_address"": """", ""address_comparison"": ""UNKNOWN"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""DETAIL_ADDRESS_MISSING""}, {""rank"": 2, ""candidate_name"": ""그때그집족발,보쌈"", ""candidate_address"": """", ""place_id"": ""32259828"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/32259828/home"", ""detail_name"": ""그때그집족발,보쌈"", ""detail_road_address"": ""서울 강남구 삼성로82길 5"", ""detail_jibun_address"": ""서울 강남구 대치동 957-32"", ""normalized_source_name"": ""그고깃집"", ""normalized_detail_name"": ""그때그집족발보쌈"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구선릉로6길13개포동1층"", ""normalized_detail_road_address"": ""서울강남구삼성로82길5"", ""normalized_detail_jibun_address"": ""서울강남구대치동95732"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,7943
4897,블루버드,서울특별시 강남구 개포로22길 22 (개포동) 1층 블루버드카페,MATCHED,"블루버드카페카페,디저트",서울 강남구 개포로22길 22 1층,서울 강남구 개포로22길 22 1층,매봉역 블루버드,195013348,https://pcmap.place.naver.com/restaurant/195013348/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""블루버드카페카페,디저트"", ""candidate_address"": """", ""place_id"": ""195013348"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/195013348/home"", ""detail_name"": ""블루버드카페카페,디저트"", ""detail_road_address"": ""서울 강남구 개포로22길 22 1층"", ""detail_jibun_address"": ""서울 강남구 개포동 1231-10"", ""normalized_source_name"": ""블루버드"", ""normalized_detail_name"": ""블루버드카페카페디저트"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로22길22개포동1층블루버드카페"", ""normalized_detail_road_address"": ""서울강남구개포로22길221층"", ""normalized_detail_jibun_address"": ""서울강남구개포동123110"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,SUCCESS,NO_DATA,SUCCESS,True,10,10,12,7,10,,PARTIAL,,13135
4955,원 베이커리,서울시 강남구 개포로 225 동진빌딩,MATCHED,원베이커리 개포점,서울특별시 강남구 개포동 1258-2,서울특별시 강남구 개포로 225,매봉역 원 베이커리,1698895425,https://pcmap.place.naver.com/restaurant/1698895425/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""원베이커리 개포점베이커리"", ""candidate_address"": """", ""place_id"": ""1698895425"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1698895425/home"", ""detail_name"": ""원베이커리 개포점베이커리"", ""detail_road_address"": ""서울 강남구 개포로 225"", ""detail_jibun_address"": ""서울 강남구 개포동 1258-2"", ""normalized_source_name"": ""원베이커리"", ""normalized_detail_name"": ""원베이커리개포점베이커리"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구개포로225동진빌딩"", ""normalized_detail_road_address"": ""서울강남구개포로225"", ""normalized_detail_jibun_address"": ""서울강남구개포동12582"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,SUCCESS,NO_DATA,SUCCESS,True,10,10,13,9,10,,PARTIAL,,13650
4991,채선당개포점,서울특별시 강남구 개포로82길 7 (개포동) 삼성빌딩2층,MATCHED,,,,개포동역 채선당개포점,19452520,https://pcmap.place.naver.com/restaurant/19452520/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""채선당 개포점샤브샤브"", ""candidate_address"": """", ""place_id"": ""19452520"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/19452520/home"", ""detail_name"": ""채선당 개포점샤브샤브"", ""detail_road_address"": ""서울 강남구 개포로82길 7"", ""detail_jibun_address"": ""서울 강남구 개포동 186-12"", ""normalized_source_name"": ""채선당개포점"", ""normalized_detail_name"": ""채선당개포점샤브샤브"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로82길7개포동삼성빌딩2층"", ""normalized_detail_road_address"": ""서울강남구개포로82길7"", ""normalized_detail_jibun_address"": ""서울강남구개포동18612"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,12,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,4,7,10,,PARTIAL,,10388
5029,모리,서울특별시 강남구 개포로 623 (개포동) 지하1층 108~109호 모리,MATCHED,모리,서울특별시 강남구 개포동 13-3 대청타워 지하1층108~109호,서울특별시 강남구 개포로 623 대청타워 지하1층108~109호,대청역 모리,342041480,https://pcmap.place.naver.com/restaurant/342041480/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""모리일식당"", ""candidate_address"": """", ""place_id"": ""342041480"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/342041480/home"", ""detail_name"": ""모리일식당"", ""detail_road_address"": ""서울 강남구 개포로 623 대청타워 지하1층108~109호"", ""detail_jibun_address"": ""서울 강남구 개포동 13-3"", ""normalized_source_name"": ""모리"", ""normalized_detail_name"": ""모리일식당"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로623개포동지하1층108109호모리"", ""normalized_detail_road_address"": ""서울강남구개포로623대청타워지하1층108109호"", ""normalized_detail_jibun_address"": ""서울강남구개포동133"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,37,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,9951
