source_type,previous_naver_status,restaurant_id,reference_name,query,query_stage,initial_status,naver_fallback_used,naver_fallback_result,fallback_recovered,final_status,original_candidate_count,filtered_candidate_count,matcher_source,qwen_ranking,selected_candidate_index,selected_candidate_name,qwen_used,qwen_confidence,candidate_url,place_id,place_id_source,resolved_rank,detail_validation,detail_name,detail_address,detail_category,name_evidence,address_evidence,reason,risk_flags,elapsed_ms,detail_validation_attempts
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4282,집밥식당 선02,매봉역 집밥식당 선02,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,2,2,QWEN,"0,1",0,집밥식당 선02,True,LOW,#,1793398137,DOM_DATA_NLOG,1,PASS,집밥식당 선02,서울 강남구 개포로25길 5 1층,,EXACT,PARTIAL,,,6692,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4325,샤넬,대청역 샤넬,station,AMBIGUOUS,True,NO_RESULT,False,AMBIGUOUS,4,4,QWEN,"1,2,3",1,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",True,LOW,https://pcmap.place.naver.com/restaurant/1686220665/home,1686220665,DOM_DATA_NLOG,,FAIL,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",서울 송파구 올림픽로 300 롯데면세점 월드타워점 9층,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,3230,2
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4298,빨간모자피자,논현역 빨간모자피자,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,빨간모자피자 논현점피자,False,,https://pcmap.place.naver.com/restaurant/11580560/home,11580560,DOM_DATA_NLOG,,FAIL,빨간모자피자 논현점피자,서울 강남구 학동로6길 30,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,968,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4293,족발대감,논현동 족발대감,dong,AMBIGUOUS,True,NO_RESULT,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,"대감왕족발족발,보쌈",False,,https://pcmap.place.naver.com/restaurant/1531219789/home,1531219789,DOM_DATA_NLOG,,FAIL,"대감왕족발족발,보쌈",서울 강남구 압구정로 216,,DIFFERENT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,3470,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4278,오레노 카츠,한티역 오레노 카츠,station,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,2,2,QWEN,"0,1",0,오레노카츠 대치점,True,LOW,#,1488199141,DOM_DATA_NLOG,1,PASS,오레노카츠 대치점,서울 강남구 도곡로63길 28,,CONTAINED,PARTIAL,,,2430,1
KOMSCO_DIRECT_NAVER_FALLBACK,AMBIGUOUS,4337,코코호도대치점,대치역 코코호도대치점,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,코코호도 대치점호두과자,False,,https://pcmap.place.naver.com/restaurant/12796490/home,12796490,DOM_DATA_NLOG,,FAIL,코코호도 대치점호두과자,서울 강남구 삼성로 212-2 은마상가 A-118호,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,949,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4279,카츠오우 도곡점,매봉역 카츠오우 도곡점,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,카츠오우 도곡점돈가스,False,,https://pcmap.place.naver.com/restaurant/1003690665/home,1003690665,DOM_DATA_NLOG,,FAIL,카츠오우 도곡점돈가스,서울 강남구 논현로30길 42 1층,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1004,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4306,불룸(Bloom),매봉역 불룸(Bloom),station,AMBIGUOUS,True,NO_RESULT,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,워크샵B,False,,https://pcmap.place.naver.com/restaurant/33141973/home,33141973,DOM_DATA_NLOG,,FAIL,워크샵B,서울 서초구 강남대로23길 88 2층,,DIFFERENT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,993,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4289,수궁갈비집,봉은사역 수궁갈비집,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,1,1,SINGLE_CANDIDATE,0,0,수궁갈비집한식,False,,#,13150128,DOM_DATA_NLOG,1,PASS,수궁갈비집한식,서울 강남구 봉은사로97길 4,,CONTAINED,PARTIAL,,,1655,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4292,송강식당,봉은사역 송강식당,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,2,2,QWEN,"0,1",0,송강제면소 강남삼성 직영점일본식라면,True,LOW,https://pcmap.place.naver.com/restaurant/2143696228/home,2143696228,DOM_DATA_NLOG,,FAIL,송강제면소 강남삼성 직영점일본식라면,서울 강남구 삼성로104길 15 2층,,DIFFERENT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,2963,2
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4296,돌리고제주도야지,강남구 돌리고제주도야지,gangnam,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,2,2,QWEN,"0,1",0,돌리고제주도야지 세곡점돼지고기구이,True,LOW,#,1271767280,DOM_DATA_NLOG,1,PASS,돌리고제주도야지 세곡점돼지고기구이,서울 강남구 헌릉로569길 9 강남지웰파인즈 1층 101호,,CONTAINED,PARTIAL,,,7267,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4587,주식회사 고유에프앤비,강남구 주식회사 고유에프앤비,gangnam,NOT_FOUND,True,NO_RESULT,False,NOT_FOUND,0,0,DETERMINISTIC,,,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NO_CONFIDENT_CANDIDATE,NO_CONFIDENT_CANDIDATE,5645,0
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4419,파리바게뜨 수서역점,수서역 파리바게뜨 수서역점,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,1,1,SINGLE_CANDIDATE,0,0,파리바게뜨 수서역점,False,,#,11684209,DOM_DATA_NLOG,1,PASS,파리바게뜨 수서역점,서울 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,,EXACT,PARTIAL,,,1970,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4281,더(THE)냄비,강남구 더(THE)냄비,gangnam,NOT_FOUND,True,NO_RESULT,False,NOT_FOUND,0,0,DETERMINISTIC,,,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NO_CONFIDENT_CANDIDATE,NO_CONFIDENT_CANDIDATE,5593,0
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4280,소나무,압구정역 소나무,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,9,5,QWEN,"0,1,4",0,소나무소고기구이,True,LOW,#,1618902912,DOM_DATA_NLOG,1,PASS,소나무소고기구이,서울 강남구 압구정로28길 22-9 1층,,CONTAINED,PARTIAL,,,6616,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4300,파에,압구정역 파에,station,AMBIGUOUS,True,NO_RESULT,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,파에일식당,False,,https://pcmap.place.naver.com/restaurant/1718796986/home,1718796986,DOM_DATA_NLOG,,FAIL,파에일식당,서울 강남구 선릉로148길 40-4 2층,일식당,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1100,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,5719,서울동,압구정로데오역 서울동,station,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,9,5,QWEN,"0,4,1",0,서울동일식당,True,LOW,#,1813928080,DOM_DATA_NLOG,1,PASS,서울동일식당,서울 강남구 압구정로 343 갤러리아백화점 명품관 WEST 고메이494 지하1층,일식당,CONTAINED,PARTIAL,,,2519,1
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4388,이자벨마랑 갤러리아압구정,압구정동 이자벨마랑 갤러리아압구정,dong,AMBIGUOUS,True,NO_RESULT,False,AMBIGUOUS,4,4,QWEN,"0,1,2",0,이자벨마랑 현대백화점 본점여성캐주얼,True,LOW,https://pcmap.place.naver.com/restaurant/1001585064/home,1001585064,DOM_DATA_NLOG,,FAIL,이자벨마랑 현대백화점 본점여성캐주얼,서울 강남구 압구정로 165 현대백화점본점 3층,,DIFFERENT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,5228,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4295,전라도밥집 순천댁,강남역 전라도밥집 순천댁,naver_local_fallback,NOT_FOUND,True,ENRICHED:NOT_FOUND,False,NOT_FOUND,1,1,SINGLE_CANDIDATE,0,0,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,PLACE_ID_NOT_IN_CANDIDATE_DOM,PLACE_ID_NOT_IN_CANDIDATE_DOM,6207,0
KOMSCO_DIRECT_NAVER_FALLBACK,AMBIGUOUS,4290,수미초밥,역삼역 수미초밥,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,수미초밥,False,,https://pcmap.place.naver.com/restaurant/1472679978/home,1472679978,DOM_DATA_NLOG,,FAIL,수미초밥,서울 강남구 논현로71길 37 101호,,EXACT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,984,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4299,오마뎅 개포래미안포레스트점,개포동 오마뎅 개포래미안포레스트점,dong,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,1,1,SINGLE_CANDIDATE,0,0,오마뎅 개포래미안포레스트점분식,False,,#,1195725724,DOM_DATA_NLOG,1,PASS,오마뎅 개포래미안포레스트점분식,서울 강남구 개포로 264 제 상가1동 1층 103-1호,,CONTAINED,PARTIAL,,,3485,1
